127.0.0.1 - - [26/Jul/2022:23:41:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:41:33 +0900] "GET /homeArt/ HTTP/1.1" 200 1303
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:41:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/home.do HTTP/1.1" 200 41700
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/images/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/css/header.css HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/images/banner2.jpg.png HTTP/1.1" 200 607412
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/images/banner1.jpg.png HTTP/1.1" 200 685981
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/images/go-top9.jpg HTTP/1.1" 200 41304
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230218151.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230218154.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230355379.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/css/bootstrap.min.css HTTP/1.1" 200 193529
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230355380.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/images/banner3.jpg.png HTTP/1.1" 200 842030
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230516690.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230516691.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230621410.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/buploadFiles/20220717230621412.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/images/%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [26/Jul/2022:23:42:29 +0900] "GET /homeArt/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
